address,originCount,TotalARBVolume
0xe1e271a26a42d00731caf4c7ab8ed1684510ab6e,1501,2142125.000000049
0x770edb43ecc5bcbe6f7088e1049fc42b2d1b195c,1348,1186374.9999999765
0xde094c8e47b85c8d4e74395b208514847dc70c68,1080,1007499.9999999847
0xd4665332b625e20e96eccc3332378e6aa48809c8,803,589248.3168887896
0xbd4e92f80db95677bd5a9e55141fc327afc69dcb,630,933375.0000000034
0x71be6b8074639b72604d3218cfdfaee88970ed69,550,345625.0000000041
0x2c440669f1ed93dacd248f2190e21b54a86f7367,540,445750.0000000018
0x8d8f3fd2f2881b4748afc46ede19d23497e06e9c,500,312500.0000000033
0xc636bef951740932f340b1acc675e80fc21a941b,500,312500.0000000033
0xdc2cae4f7ea6576717c5d373d4b348593534ddff,500,312500.0000000033
0xdf18872e557072fa12f6ef2919cdf1987df205e4,500,312500.0000000033
0xe95bd342416114bd111cff0ce9b92012bdd24dc9,500,312500.0000000033
0xbd021279a0da86554dcc95cf44b0c176433447e6,499,311875.0000000033
0x023a9e71848964720aa938d50f1232d34f46b470,424,375625.00000000116
0xf175afce3b19cc43486d07e3e905e70b0b712fda,400,699999.9999999985
0x58466051e2b049e6c21dca97f1b18e83c79b0c99,394,530250.0000000024
0x6f2fd4d1151522b2a16a53b4d7990dbcd09dc657,391,426375.0000000015
0x610336e20ac62fa46bfc38d7488d66568252ae92,382,336249.9999999988
0xfa7fab00d62ddd4d62d0ac8f82e6eb090b95aac2,373,335374.9999999992
0x564910544054f69f28cacdd78734b57a5f7c2482,360,433250.0000000005
0xcbc5166579f48b0fe8b4debfd7a2f7d543bcaa4a,311,241874.99999999974
0xb78d9615b44cf718e0b619dc6ccba0218cdb508b,301,249624.99999999936
0x751e1a1e6da8f5fd496f762df9ae9b09639862d1,300,239000.0000000001
0x0ba8fc3aa5c9e1c5b05641abaab560ca1c730497,300,524999.9999999974
0x08177d42755ec8225f0bf635a1acff3e989c3b38,299,235000.0000000003
0xd01b7f328d00f3b52a84490b23f8a5db3b18686c,288,227749.99999999942
0x33edacec49d84383cecb8b3b6649df05d44fb032,276,320250
0xad7c728f0171debe72374f6b5b0d3cb9d7b681ac,271,377375.0000000006
0xe937778e5f9628ae86bb2492c750f19a39885674,270,268624.9982999988
0x1228d98dba720dba71f8405f6076816df6e6fd01,236,294000.00000000035
0x30391a4f9d2f099d41888f811784281cba4097f0,229,319500.00000000175
0xb82ca04eb44ab394c76ea27d76cafef6dfc4dd81,224,182750.0000000003
0xe1a16d83fecbbb9b43fc3a95d75d04f46a9d2bb7,222,401000.0000000004
0xf3ea96e06ed9cf5a4c4cc34a3d426779743dcea7,215,375249.9999999997
0x9235bf84ecc46c1387b91561b06cb2d95cee55d3,211,134749.99999999968
0x13633518b5b8e00e6f2385db4e8043d3520c88b7,211,184624.99999999988
0x950058669f992c0f6f15a3e7be150319d9ddea6c,201,293500
0x7750140eb4572b8030181e3fa973439314885b5a,200,165000.00000000015
0xc1a7669852d5dbcc17a2e5aa3da9d2d4cec18073,200,165250.00000000015
0x2c9066cefefaa54895a0f10862b2fabaaaabeec0,200,170000.00000000012
0x7161797d140debe398bd75ceedd47e3a1dc31ef4,197,167250.00000000026
0x07af234aeb71ec0620139f1f22147d5327581f43,188,14058602.57159999
0xc8810fde8e6f0911d8b180e03c367b2a2838bad6,179,484874.9999999996
0xfe1bd58e95fb9dac97252847c80480ba09474e74,177,110624.99999999978
0x322de02b3e7f45fc1d92bb445933e8362049b048,176,274750.0000000001
0x958c7618eed74535f94cc0c7449fe4b1dcfadbba,170,194749.9999999996
0x89c8c870cc0a2daf1153f9dcdc9070e21d7ebf57,157,144375.00000000038
0xae447efdb02d15d460d9c640710244f3ebad5473,157,243750.00000000023
0x9622f0e88bd7515ecbd1cae77e4d73029d2ba0e5,153,274499.9999999996
0x515aae01790f2fa0dfe235d82d837ac5bff31276,153,241375.00000000026
0xb89fd87cee15a6d5c156d7a3158f9e98eaec4d83,152,494249.5792221955
0xcc577c130c019529ff1e721f9beea24a7dc1402d,146,238502.31210998446
0x03a1f08f2f08c9fb4a255922d386c17638e0b703,146,103499.99999999977
0x007357c000c2f347f64829ba40ac5cae800d612f,143,218875.0000000004
0x15508293e3c46281db5f12f7a1fa9b7acc461651,143,115625.00000000001
0x1cbdde6d31409605b7c48650acabdf9948ef614c,143,97624.99999999997
0x7138a2508b5b157463187beea2c10ee47fbd3f05,143,207125.0000000001
0xae2407f32e0a9cb4ea7310d25cdf4edb3584f445,143,336500
0xc36573476dc5c0f82be81055e54dcdf55498cb9a,143,93249.99999999987
0xf9c320f50118107ef06bcf7fdf91916746cecfd7,142,109462.00000000016
0xa72a3ed3be1c4ffa1cf226a8c6276f332e3bd10c,138,116375.00000000003
0xd7a9ebac0c310b93b87a4f2e081cd14f7b14d77c,135,84624.99999999987
0xd8990401b93269f9770fbe3d4ac3a6723ec4167c,135,206125.00000000006
0xf34c7dacafb327f9d45bbff21ab7bbc6a2468fd5,135,167374.99999999977
0xfa85fc926eed5c74525093d59bb47d8f673205c4,133,114749.99999999994
0x592e121d283d7126831d94bf41513bac2f2f6792,130,270250
0x8e9e5ee8d3428b35f2ab17fe0ff6ab177159dc7c,130,196000.0000000001
0x51c5ceac57e84ff1745a731fb97a28b1982a52bd,129,117625.0000000001
0x1868e6127b2999f7ab4be774c4a9d137012412bb,126,188000.00000000032
0xac56b0505cc1c270beeec0a0895cd377b1d6d29a,124,87250.00000000009
0xef5939492958abb8488ce5a5c68d61ac29c07732,121,140999.99999999985
0x0eb54a60282e5dff00f1a0c52875452f1ba9cb25,119,95375.0000000001
0x444eec83958a7b6479d76e4054053429c0a45928,119,200749.99999999994
0x26e10a55ad46d4e8d21f947d186bfda95a0cc38b,116,207500.00000000012
0x8eeb4a583674c1c7e89d0d05adf8e6035fa8d9bc,111,87250.00000000001
0xa23710fb60a7cb1391ec7713756da72f3b9c428d,110,105723.75000000004
0xa9969aff3ae164928427dd47d25d9be4fbe9dd0b,109,260499.99999999994
0xe9154c970b6a9de35284a39877dffff5e00fb147,109,144249.99999999985
0xf7aa24af5ec7c5ad94ea8f04e1f3033e03cfc60a,109,160625.00000000017
0xfbb4c7b283b1e60d6572a9ea2b644ec095ba019f,109,95375.0000000002
0x66f02551f3a5d85266ef1b6fc70ed0c93832685d,108,107875.00000000016
0x653c8db763fd4ea5e95d8fec489355e9723d6d57,106,1585867.5138
0xdd366e22d2ee4bbfdbd9e85457fafd8f8c3e64c4,106,92750.00000000019
0x6e66dad5154f904fa01eeedc73f0d813fec31bb1,105,105545.69204610772
0xacff27f848b71d56e1ed476e65af398006acf0d5,102,134749.99999999962
0x9abed982431a25908bed8551921d2a754fbb244c,101,94125.00000000013
0x9b97e3ed2c93625df67be6314b22b972d4cc81dd,101,109749.99999999987
0xbb911751fcebbd2f704af06e3e051bc3ab8326a7,101,88125.00000000017
0x1c45324f7b54d0c8f26a6b2c93192446c821f60f,101,108250.00000000019
0x338b6a32a88319d0cd374fa71470a133dca54eaa,101,138609.9999999998
0x60f1714f8511ebe52816bd54f29c2ddf00591e19,101,110498.8899999998
0x7b03c44cfd2d2f38a9264420872c08834ae43fc3,100,112499.9999999998
0x7ec201cc006635d936f6a23b055c593f4174845f,100,87500.00000000017
0x9492c4881f694e78ffa4532c713b6a9588df1192,100,88250.00000000016
0x9ba3ef3ae76694247e6a3cd5474ad9650fae39d1,100,80999.99999999997
0xce86fff50dda68e30e17e157ca3cd7520560bdd5,100,87500.00000000017
0x8b6d3ca5d5f3cda4152e9d99a3ec0b3272ae5777,99,62874.999999999956
0xb4a1f41201673c41b9714c088e719527676bc918,98,241625.00000000035
0x423a072e23835153c48f1046869ea9b6e7f0f868,98,111747.99999999981
0x9f4a813da57905aad4b2f435727756a7fc962c91,97,120999.99999999999
0xaa0318aa829b805f444f0362126debf8b2ced521,95,73124.00000000013
0x1521f3b122cd200d239e406b05ac5ecb5eb227dc,95,62374.99999999996
0x7f44469eef5617859b5c357179ff179f72d92142,94,63749.99999999997
0xdce6894ea8217b368cdfaa8a31b7d1f78fe8fd79,94,225750.0000000001
0x794bf4a39cd65ef99cdbc4853b0c9ec317f3de9a,93,81375.00000000015
0x65cc9cf3d09ce8bed1a311cd93b5dcad1c0c7bcf,91,62249.99999999999
0xf84f2f86be594dcccd4c192ab8058f9f73fb25e7,91,132249.99999999988
0x03f247159d60648707d3e36daa5e38a3a44c7ac5,90,105874.99999999985
0x7c524aee1e0b76eecb7d3f7534709e4d90d1a24e,88,94250
0x8368fdbf80fde3772790e57317afab59960060b3,88,71624.99999999991
0x96af15f051ad7d6e981e7a657e79061ca38406c3,87,76125.00000000013
0xbca0e422d5b077bfdd6806aa8dc2236368dd8376,87,54374.999999999985
0x4396fd1f667afb2ed366f32ee5257a7460fa8bce,86,139874.99999999997
0x5ec0b466c3cd191ac04227e2b0e6dcd672868de0,86,184750.00000000017
0xed712fdac694a0ca12b4ef22b4f506c5868f96c0,86,71250.00000000007
0xd0e8f8b4f565c33f5044e5a49e54ebcebc80599d,82,68250.00000000004
